source,target,value
"Central Coast","Capital Region",662
"Central West","Capital Region",1136
"Coffs Harbour - Grafton","Capital Region",198
"Far West and Orana","Capital Region",329
"Hunter Valley exc Newcastle","Capital Region",461
"Illawarra","Capital Region",1226
"Capital Region","Central Coast",413
"Central West","Central Coast",830
"Coffs Harbour - Grafton","Central Coast",380
"Far West and Orana","Central Coast",390
"Hunter Valley exc Newcastle","Central Coast",1478
"Illawarra","Central Coast",309
"Capital Region","Central West",864
"Central Coast","Central West",754
"Coffs Harbour - Grafton","Central West",217
"Far West and Orana","Central West",2127
"Hunter Valley exc Newcastle","Central West",761
"Illawarra","Central West",614


